Q,Intensity
1.000000000000000000e+00,2.600168383121878764e-03
2.000000000000000000e+00,4.084459215228094056e-04
3.000000000000000000e+00,3.275579375675451610e-04
4.000000000000000000e+00,2.224319965857385600e-04
5.000000000000000000e+00,1.455950391027041656e-04
6.000000000000000000e+00,8.880679527420048708e-05
7.000000000000000000e+00,1.112038191145570923e-04
8.000000000000000000e+00,6.278369085833738724e-05
9.000000000000000000e+00,8.605913526394030444e-05
1.000000000000000000e+01,6.294941329190477852e-05
1.100000000000000000e+01,6.018410605893416898e-05
1.200000000000000000e+01,3.472807479993869395e-05
1.300000000000000000e+01,4.796216058124578918e-05
1.400000000000000000e+01,2.785869034935760483e-05
1.500000000000000000e+01,2.074498596920491827e-05
1.600000000000000000e+01,1.599123882487281462e-05
1.700000000000000000e+01,1.981864553421905847e-05
1.800000000000000000e+01,1.512050124526819654e-05
1.900000000000000000e+01,1.258601561721555514e-05
2.000000000000000000e+01,1.069763273796943718e-05
2.100000000000000000e+01,7.788461504662182576e-06
2.200000000000000000e+01,9.396089751635637566e-06
2.300000000000000000e+01,1.008572153028484597e-05
2.400000000000000000e+01,6.477021234185975972e-06
2.500000000000000000e+01,5.803913727571079734e-06
2.600000000000000000e+01,4.274698819512461683e-06
2.700000000000000000e+01,3.826186896963875003e-06
2.800000000000000000e+01,3.679648158902095898e-06
2.900000000000000000e+01,4.661645691551687186e-06
3.000000000000000000e+01,4.418403481356523096e-06
3.100000000000000000e+01,4.677048515845885411e-06
3.200000000000000000e+01,4.292276359803521578e-06
3.300000000000000000e+01,4.726911669137491539e-06
3.400000000000000000e+01,3.051924685720517170e-06
3.500000000000000000e+01,2.294185575624558758e-06
3.600000000000000000e+01,1.926602109019434146e-06
3.700000000000000000e+01,2.365969054270385264e-06
3.800000000000000000e+01,2.016764779231318914e-06
3.900000000000000000e+01,1.592742090224976204e-06
4.000000000000000000e+01,1.497855231699805497e-06
4.100000000000000000e+01,1.819861204341591465e-06
4.200000000000000000e+01,2.004635703835003239e-06
4.300000000000000000e+01,1.861877134704581884e-06
4.400000000000000000e+01,1.818989912625219274e-06
4.500000000000000000e+01,1.860698345244078113e-06
4.600000000000000000e+01,1.296080067436971355e-06
4.700000000000000000e+01,1.335236610807787974e-06
4.800000000000000000e+01,1.033764095090681063e-06
4.900000000000000000e+01,1.016185340042308322e-06
5.000000000000000000e+01,9.588277843040054439e-07
5.100000000000000000e+01,1.058745019953761916e-06
5.200000000000000000e+01,7.602030112155694167e-07
5.300000000000000000e+01,4.938499271087582810e-07
5.400000000000000000e+01,6.804092609585488632e-07
5.500000000000000000e+01,7.560330884066482418e-07
5.600000000000000000e+01,6.578699386297347849e-07
5.700000000000000000e+01,7.454406426091052399e-07
5.800000000000000000e+01,6.987709844359146792e-07
5.900000000000000000e+01,6.112773553345380901e-07
6.000000000000000000e+01,6.749060778962935346e-07
6.100000000000000000e+01,5.842006031173884106e-07
6.200000000000000000e+01,5.231942849276809038e-07
6.300000000000000000e+01,5.167019116291363800e-07
6.400000000000000000e+01,4.623623435537797066e-07
6.500000000000000000e+01,5.072966990302424508e-07
6.600000000000000000e+01,5.051512358543430272e-07
6.700000000000000000e+01,4.612279006695044372e-07
6.800000000000000000e+01,4.186665372486349948e-07
6.900000000000000000e+01,3.255635484612460915e-07
7.000000000000000000e+01,3.385024791091423788e-07
7.100000000000000000e+01,3.784862484353285514e-07
7.200000000000000000e+01,3.105995104377143452e-07
7.300000000000000000e+01,3.661946717655744526e-07
7.400000000000000000e+01,3.311154982205498472e-07
7.500000000000000000e+01,3.709300123775359161e-07
7.600000000000000000e+01,3.120700667389660378e-07
7.700000000000000000e+01,2.703831013736500978e-07
7.800000000000000000e+01,2.913047802025169448e-07
7.900000000000000000e+01,2.728968639997852455e-07
8.000000000000000000e+01,2.571555270597061693e-07
8.100000000000000000e+01,2.349600514972950888e-07
8.200000000000000000e+01,2.043420691325511832e-07
8.300000000000000000e+01,1.902950992110093665e-07
8.400000000000000000e+01,2.175317166082944288e-07
8.500000000000000000e+01,2.268443670746725427e-07
8.600000000000000000e+01,2.073251618442476253e-07
8.700000000000000000e+01,1.994443619232111813e-07
8.800000000000000000e+01,2.390381356812755473e-07
8.900000000000000000e+01,1.896675768774734836e-07
9.000000000000000000e+01,1.665839754965856318e-07
9.100000000000000000e+01,1.673906131219806776e-07
9.200000000000000000e+01,1.544578238262078074e-07
9.300000000000000000e+01,1.481148587601196253e-07
9.400000000000000000e+01,1.124779599220928446e-07
9.500000000000000000e+01,1.186719988507213239e-07
9.600000000000000000e+01,1.223388628416419500e-07
9.700000000000000000e+01,1.521990694618318343e-07
9.800000000000000000e+01,1.733126356203341454e-07
9.900000000000000000e+01,1.763560939240937425e-07
1.000000000000000000e+02,1.851008987189190666e-07
1.010000000000000000e+02,1.492356813681217179e-07
1.020000000000000000e+02,1.311927442535706154e-07
1.030000000000000000e+02,1.257829863632077651e-07
1.040000000000000000e+02,1.075590524600636099e-07
1.050000000000000000e+02,1.144907832848334331e-07
1.060000000000000000e+02,1.186924969578574552e-07
1.070000000000000000e+02,1.038190849121872891e-07
1.080000000000000000e+02,9.238847885874982829e-08
1.090000000000000000e+02,1.029457535354364505e-07
1.100000000000000000e+02,1.139868975022668577e-07
1.110000000000000000e+02,9.008013808243178490e-08
1.120000000000000000e+02,9.367242349201247364e-08
1.130000000000000000e+02,1.000384660191490808e-07
1.140000000000000000e+02,9.316083418880776288e-08
1.150000000000000000e+02,9.218084089541114006e-08
1.160000000000000000e+02,8.445035172087781345e-08
1.170000000000000000e+02,8.809755737122021630e-08
1.180000000000000000e+02,8.121118848824222377e-08
1.190000000000000000e+02,9.224416399951516761e-08
1.200000000000000000e+02,8.363753531631401669e-08
1.210000000000000000e+02,7.630871771857041280e-08
1.220000000000000000e+02,6.000303978615566418e-08
1.230000000000000000e+02,7.230601786184793189e-08
1.240000000000000000e+02,6.890896759804529422e-08
1.250000000000000000e+02,5.675550966146714742e-08
1.260000000000000000e+02,5.223543574877097172e-08
1.270000000000000000e+02,4.758151052026378755e-08
1.280000000000000000e+02,4.767783264296269701e-08
1.290000000000000000e+02,5.416084564116508140e-08
1.300000000000000000e+02,7.002097145516868153e-08
1.310000000000000000e+02,6.699130139336292206e-08
1.320000000000000000e+02,6.280496679016124404e-08
1.330000000000000000e+02,7.036292973079967165e-08
1.340000000000000000e+02,6.650565721564459597e-08
1.350000000000000000e+02,6.278924101648035744e-08
1.360000000000000000e+02,5.952555028696076194e-08
1.370000000000000000e+02,5.008607007628214456e-08
1.380000000000000000e+02,5.280834045530524424e-08
1.390000000000000000e+02,5.157985366065202807e-08
1.400000000000000000e+02,5.152670185308348499e-08
1.410000000000000000e+02,4.196352062547537662e-08
1.420000000000000000e+02,4.278505737053098003e-08
1.430000000000000000e+02,4.083869342351084617e-08
1.440000000000000000e+02,4.009978002965137871e-08
1.450000000000000000e+02,4.363080959981090081e-08
1.460000000000000000e+02,4.064219134125533262e-08
1.470000000000000000e+02,4.660172375104968537e-08
1.480000000000000000e+02,4.666170371070233844e-08
1.490000000000000000e+02,3.949215271667753732e-08
1.500000000000000000e+02,3.965241824694438667e-08
1.510000000000000000e+02,3.987544338636265418e-08
1.520000000000000000e+02,3.817541885454473019e-08
1.530000000000000000e+02,3.259811252951538212e-08
1.540000000000000000e+02,3.259026443749805683e-08
1.550000000000000000e+02,4.017001778521869018e-08
1.560000000000000000e+02,3.234230588533485794e-08
1.570000000000000000e+02,3.344017181217300050e-08
1.580000000000000000e+02,3.422634032283013115e-08
1.590000000000000000e+02,3.039408774812915045e-08
1.600000000000000000e+02,2.933699600357680371e-08
1.610000000000000000e+02,2.735469348383295578e-08
1.620000000000000000e+02,3.188591696972558179e-08
1.630000000000000000e+02,4.281288463923407698e-08
1.640000000000000000e+02,3.398468177168532711e-08
1.650000000000000000e+02,2.934460805608160460e-08
1.660000000000000000e+02,3.380153924005620053e-08
1.670000000000000000e+02,3.055929047374327979e-08
1.680000000000000000e+02,3.109660946568841259e-08
1.690000000000000000e+02,2.280698208352886822e-08
1.700000000000000000e+02,2.309418820521472721e-08
1.710000000000000000e+02,2.586363400310415901e-08
1.720000000000000000e+02,2.653810289172908774e-08
1.730000000000000000e+02,3.144758742228935661e-08
1.740000000000000000e+02,2.846410612004356071e-08
1.750000000000000000e+02,2.911783760466510766e-08
1.760000000000000000e+02,3.011771089979468145e-08
1.770000000000000000e+02,2.614777297316148715e-08
1.780000000000000000e+02,3.074378274214565533e-08
1.790000000000000000e+02,2.788198823664023721e-08
1.800000000000000000e+02,3.188578062356240319e-08
1.810000000000000000e+02,2.787512089805083189e-08
1.820000000000000000e+02,2.002737777765036990e-08
1.830000000000000000e+02,1.833808719134983799e-08
1.840000000000000000e+02,1.820386900477512510e-08
1.850000000000000000e+02,2.017049273656525214e-08
1.860000000000000000e+02,1.881264115477512677e-08
1.870000000000000000e+02,1.761804460050186072e-08
