Q,Intensity
1.000000000000000000e+00,2.138391828245723048e-04
2.000000000000000000e+00,3.632045189410704547e-05
3.000000000000000000e+00,2.768518677222877973e-05
4.000000000000000000e+00,1.779677420368226315e-05
5.000000000000000000e+00,1.140141737217089878e-05
6.000000000000000000e+00,7.089510884805960045e-06
7.000000000000000000e+00,9.591138451366192877e-06
8.000000000000000000e+00,5.827465116665605042e-06
9.000000000000000000e+00,9.868404328019398603e-06
1.000000000000000000e+01,7.251030006614028068e-06
1.100000000000000000e+01,6.941177955443655847e-06
1.200000000000000000e+01,4.850935208087067609e-06
1.300000000000000000e+01,6.032053848644739987e-06
1.400000000000000000e+01,4.420043542104902287e-06
1.500000000000000000e+01,3.306982612595477591e-06
1.600000000000000000e+01,2.646312572895794354e-06
1.700000000000000000e+01,3.181531958995577159e-06
1.800000000000000000e+01,3.310158470250423595e-06
1.900000000000000000e+01,3.400368311580779590e-06
2.000000000000000000e+01,2.666473732589250129e-06
2.100000000000000000e+01,2.215350380524760625e-06
2.200000000000000000e+01,2.415714677818225988e-06
2.300000000000000000e+01,3.233416932721827336e-06
2.400000000000000000e+01,2.220584255332331814e-06
2.500000000000000000e+01,2.150143184736301512e-06
2.600000000000000000e+01,1.905389401263627982e-06
2.700000000000000000e+01,1.646056341085406675e-06
2.800000000000000000e+01,1.664756928508201940e-06
2.900000000000000000e+01,1.642820776971220205e-06
3.000000000000000000e+01,1.953896743341556067e-06
3.100000000000000000e+01,1.904265734454299690e-06
3.200000000000000000e+01,1.854740712158347396e-06
3.300000000000000000e+01,2.191936648983400688e-06
3.400000000000000000e+01,1.588547770289048489e-06
3.500000000000000000e+01,1.307178591841063595e-06
3.600000000000000000e+01,1.183234074898100242e-06
3.700000000000000000e+01,1.132617972345411713e-06
3.800000000000000000e+01,1.091514661377349133e-06
3.900000000000000000e+01,8.231041682233140794e-07
4.000000000000000000e+01,8.740440537066443782e-07
4.100000000000000000e+01,1.202578300794504186e-06
4.200000000000000000e+01,1.436981648878575703e-06
4.300000000000000000e+01,1.072380521663009595e-06
4.400000000000000000e+01,1.070009224256346820e-06
4.500000000000000000e+01,1.232676493760129519e-06
4.600000000000000000e+01,8.640657015164466853e-07
4.700000000000000000e+01,7.812397521749017421e-07
4.800000000000000000e+01,9.387899805205260829e-07
4.900000000000000000e+01,6.181877430142328772e-07
5.000000000000000000e+01,8.901514703515630353e-07
5.100000000000000000e+01,6.975337357801277960e-07
5.200000000000000000e+01,5.836858181904027672e-07
5.300000000000000000e+01,5.764801910990616041e-07
5.400000000000000000e+01,5.419377728413851023e-07
5.500000000000000000e+01,8.160036683268908386e-07
5.600000000000000000e+01,6.466819254236431705e-07
5.700000000000000000e+01,6.213336727409973908e-07
5.800000000000000000e+01,5.222272833819414786e-07
5.900000000000000000e+01,6.234761564224627124e-07
6.000000000000000000e+01,6.615869227102822722e-07
6.100000000000000000e+01,5.942101399832185866e-07
6.200000000000000000e+01,3.951020956312440119e-07
6.300000000000000000e+01,5.126573299352685662e-07
6.400000000000000000e+01,4.027735055121348688e-07
6.500000000000000000e+01,4.279274609079016798e-07
6.600000000000000000e+01,4.132086606121400588e-07
6.700000000000000000e+01,4.097596033286353107e-07
6.800000000000000000e+01,4.618124329773837591e-07
6.900000000000000000e+01,2.791935209503292084e-07
7.000000000000000000e+01,4.152988735498471045e-07
7.100000000000000000e+01,3.003233349020709273e-07
7.200000000000000000e+01,2.832998233005233677e-07
7.300000000000000000e+01,3.923354805866313484e-07
7.400000000000000000e+01,4.365636813733162174e-07
7.500000000000000000e+01,3.688922981597440490e-07
7.600000000000000000e+01,3.529372522532573654e-07
7.700000000000000000e+01,2.723143773616116300e-07
7.800000000000000000e+01,2.415921162663867079e-07
7.900000000000000000e+01,2.762721262410651609e-07
8.000000000000000000e+01,3.097385984859591231e-07
8.100000000000000000e+01,2.661528165797451713e-07
8.200000000000000000e+01,2.275690489115830582e-07
8.300000000000000000e+01,1.989790128532623601e-07
8.400000000000000000e+01,2.338925066604681934e-07
8.500000000000000000e+01,1.884988026849911198e-07
8.600000000000000000e+01,2.172732818495769343e-07
8.700000000000000000e+01,1.967940647555549001e-07
8.800000000000000000e+01,1.698929958222157088e-07
8.900000000000000000e+01,2.200458454639849855e-07
9.000000000000000000e+01,2.286398886601154921e-07
9.100000000000000000e+01,1.633739611054422431e-07
9.200000000000000000e+01,1.684727447255714670e-07
9.300000000000000000e+01,1.500886765381363938e-07
9.400000000000000000e+01,1.323723132393820058e-07
9.500000000000000000e+01,1.175248605458659196e-07
9.600000000000000000e+01,1.202238575257595335e-07
9.700000000000000000e+01,1.777474535432826829e-07
9.800000000000000000e+01,1.773820499552299569e-07
9.900000000000000000e+01,2.172804949787313664e-07
1.000000000000000000e+02,1.694458641613571596e-07
1.010000000000000000e+02,1.482507906546850009e-07
1.020000000000000000e+02,1.461804544044517821e-07
1.030000000000000000e+02,1.390785519636241042e-07
1.040000000000000000e+02,1.343369520916949214e-07
1.050000000000000000e+02,1.237414160180309191e-07
1.060000000000000000e+02,1.383856552927500963e-07
1.070000000000000000e+02,1.105894931421072736e-07
1.080000000000000000e+02,1.141996287081205141e-07
1.090000000000000000e+02,9.788435194297973840e-08
1.100000000000000000e+02,9.045657451833918211e-08
1.110000000000000000e+02,7.811993955063687992e-08
1.120000000000000000e+02,9.754934347633310289e-08
1.130000000000000000e+02,9.619235239509013897e-08
1.140000000000000000e+02,7.856766868952676627e-08
1.150000000000000000e+02,1.003719888799116990e-07
1.160000000000000000e+02,1.170363562275913845e-07
1.170000000000000000e+02,9.341669950012532496e-08
1.180000000000000000e+02,1.058160242782182753e-07
1.190000000000000000e+02,9.608728364569046246e-08
1.200000000000000000e+02,8.771154929468553177e-08
1.210000000000000000e+02,9.204835448149859710e-08
1.220000000000000000e+02,7.476778284363565846e-08
1.230000000000000000e+02,6.721428861922646162e-08
1.240000000000000000e+02,6.176049941544650161e-08
1.250000000000000000e+02,7.779514424917010288e-08
1.260000000000000000e+02,4.967579859010176447e-08
1.270000000000000000e+02,6.025857045519182561e-08
1.280000000000000000e+02,4.982127622954121233e-08
1.290000000000000000e+02,6.683515660704042822e-08
1.300000000000000000e+02,9.248648105052466456e-08
1.310000000000000000e+02,8.253320838159222261e-08
1.320000000000000000e+02,8.877490618003971398e-08
1.330000000000000000e+02,7.097295195827824826e-08
1.340000000000000000e+02,6.665695903573038693e-08
1.350000000000000000e+02,7.548521698097112391e-08
1.360000000000000000e+02,5.350227293901302156e-08
1.370000000000000000e+02,5.196385553005303327e-08
1.380000000000000000e+02,6.193841706266855224e-08
1.390000000000000000e+02,5.362864849938202208e-08
1.400000000000000000e+02,5.335071252697026532e-08
1.410000000000000000e+02,4.883173570328585942e-08
1.420000000000000000e+02,5.065382134212698091e-08
1.430000000000000000e+02,5.804128490925305067e-08
1.440000000000000000e+02,4.720553208080450367e-08
1.450000000000000000e+02,4.331797488632937605e-08
1.460000000000000000e+02,3.479259756438545091e-08
1.470000000000000000e+02,4.239551736908230442e-08
1.480000000000000000e+02,5.242915567880618762e-08
1.490000000000000000e+02,3.595798777701005958e-08
1.500000000000000000e+02,3.956635636561518672e-08
1.510000000000000000e+02,3.250786503831083927e-08
1.520000000000000000e+02,3.830646504187874327e-08
1.530000000000000000e+02,4.701716717437803795e-08
1.540000000000000000e+02,5.258993559891151211e-08
1.550000000000000000e+02,4.151116902211614065e-08
1.560000000000000000e+02,3.689278851220166706e-08
1.570000000000000000e+02,3.903502310141842704e-08
1.580000000000000000e+02,4.469902536524094447e-08
1.590000000000000000e+02,4.418683716131277426e-08
1.600000000000000000e+02,4.111093869513336093e-08
1.610000000000000000e+02,4.360230469176464123e-08
1.620000000000000000e+02,3.855861653839997385e-08
1.630000000000000000e+02,3.133949370420628005e-08
1.640000000000000000e+02,3.097845019283673742e-08
