Q,Intensity
1.000000000000000000e+00,2.051216030726378927e-04
2.000000000000000000e+00,4.767173820209231382e-05
3.000000000000000000e+00,2.031339524100144015e-05
4.000000000000000000e+00,1.735335235272381899e-05
5.000000000000000000e+00,8.833079408231402649e-06
6.000000000000000000e+00,1.495093011793777237e-05
7.000000000000000000e+00,5.338295327587245275e-06
8.000000000000000000e+00,3.613065896126365598e-06
9.000000000000000000e+00,5.947588578261118545e-06
1.000000000000000000e+01,6.848323081835967641e-06
1.100000000000000000e+01,6.099290949646057737e-06
1.200000000000000000e+01,2.804711791910370800e-06
1.300000000000000000e+01,1.789049107496467701e-06
1.400000000000000000e+01,2.296045902690618129e-06
1.500000000000000000e+01,2.493651031522417602e-06
1.600000000000000000e+01,3.337730157797996785e-06
1.700000000000000000e+01,3.855940457741231240e-06
1.800000000000000000e+01,3.579173030764956057e-06
1.900000000000000000e+01,2.175317420758899842e-06
2.000000000000000000e+01,1.591678053368447316e-06
2.100000000000000000e+01,1.048671599201736576e-06
2.200000000000000000e+01,1.253119648081565283e-06
2.300000000000000000e+01,1.450674733032259325e-06
2.400000000000000000e+01,1.313163779610465735e-06
2.500000000000000000e+01,1.407694989349196552e-06
2.600000000000000000e+01,1.508167787001788038e-06
2.700000000000000000e+01,1.569739373331206586e-06
2.800000000000000000e+01,1.849551609438328911e-06
2.900000000000000000e+01,2.066945314783551968e-06
3.000000000000000000e+01,1.627974707888590250e-06
3.100000000000000000e+01,1.135896738575323438e-06
3.200000000000000000e+01,8.062416275259767794e-07
3.300000000000000000e+01,9.950360135882036979e-07
3.400000000000000000e+01,6.033026207764334762e-07
3.500000000000000000e+01,6.104739989956402559e-07
3.600000000000000000e+01,6.759825713176266128e-07
3.700000000000000000e+01,5.472770641983999497e-07
3.800000000000000000e+01,6.586816848681020317e-07
3.900000000000000000e+01,6.056625984301236873e-07
4.000000000000000000e+01,5.604906826183668183e-07
4.100000000000000000e+01,6.168149890809323250e-07
4.200000000000000000e+01,5.611686950703862865e-07
4.300000000000000000e+01,5.519709821100316452e-07
4.400000000000000000e+01,6.295606794998353684e-07
4.500000000000000000e+01,6.433238676245861254e-07
4.600000000000000000e+01,7.627314975699862897e-07
4.700000000000000000e+01,9.504772839827291234e-07
4.800000000000000000e+01,7.293982903215394218e-07
4.900000000000000000e+01,5.491584928436814077e-07
5.000000000000000000e+01,4.907082921754303995e-07
5.100000000000000000e+01,4.279742337998712540e-07
5.200000000000000000e+01,2.921702021208740830e-07
5.300000000000000000e+01,3.249049351526273556e-07
5.400000000000000000e+01,2.762943941052868295e-07
5.500000000000000000e+01,2.076352369923740091e-07
5.600000000000000000e+01,1.910867815816073601e-07
5.700000000000000000e+01,2.203682818149417196e-07
5.800000000000000000e+01,2.298291835700355065e-07
5.900000000000000000e+01,1.876008709556575824e-07
6.000000000000000000e+01,1.848862280257619366e-07
6.100000000000000000e+01,1.619245286575362955e-07
6.200000000000000000e+01,1.892433470154280011e-07
6.300000000000000000e+01,2.144078906831495367e-07
6.400000000000000000e+01,1.702580669523258026e-07
6.500000000000000000e+01,1.357622248298286893e-07
6.600000000000000000e+01,1.268072543245877636e-07
6.700000000000000000e+01,1.651889117785651358e-07
6.800000000000000000e+01,1.383939828049564293e-07
6.900000000000000000e+01,1.215791935563208553e-07
7.000000000000000000e+01,1.288991103927294700e-07
7.100000000000000000e+01,1.335173954644083860e-07
7.200000000000000000e+01,1.395668907647546744e-07
7.300000000000000000e+01,1.643225766178639273e-07
7.400000000000000000e+01,1.633022675694882335e-07
7.500000000000000000e+01,1.875922933938483313e-07
7.600000000000000000e+01,2.266083891824924229e-07
7.700000000000000000e+01,2.564452266557263643e-07
7.800000000000000000e+01,1.978707086476212596e-07
7.900000000000000000e+01,1.665778399937839955e-07
8.000000000000000000e+01,1.134532888931484941e-07
8.100000000000000000e+01,1.125890838197225667e-07
8.200000000000000000e+01,1.041495127418432801e-07
8.300000000000000000e+01,9.743289229931142848e-08
8.400000000000000000e+01,7.341027743845280697e-08
8.500000000000000000e+01,6.157360943440470209e-08
