Q,Intensity
1.000000000000000000e+00,7.622797773540836004e-06
2.000000000000000000e+00,4.508171702473812801e-06
3.000000000000000000e+00,2.903624485274430860e-06
4.000000000000000000e+00,2.477311658046293446e-06
5.000000000000000000e+00,1.677398135412351239e-06
6.000000000000000000e+00,1.724057972985003123e-06
7.000000000000000000e+00,1.302622949758379677e-06
8.000000000000000000e+00,1.131074552525547811e-06
9.000000000000000000e+00,1.116795684978899945e-06
1.000000000000000000e+01,9.028263307906254961e-07
1.100000000000000000e+01,9.107238151074889179e-07
1.200000000000000000e+01,7.624339221827349885e-07
1.300000000000000000e+01,6.611744655921376859e-07
1.400000000000000000e+01,6.265945689580111525e-07
1.500000000000000000e+01,5.829165133373519790e-07
1.600000000000000000e+01,5.700248890275421414e-07
1.700000000000000000e+01,4.567844756408881286e-07
1.800000000000000000e+01,4.233493150632304726e-07
1.900000000000000000e+01,4.129494612407350276e-07
2.000000000000000000e+01,3.902950358678823289e-07
2.100000000000000000e+01,3.206567464170839622e-07
2.200000000000000000e+01,3.195661680707065698e-07
2.300000000000000000e+01,3.087638305580386894e-07
2.400000000000000000e+01,2.715471273426703820e-07
2.500000000000000000e+01,2.331915383959010087e-07
2.600000000000000000e+01,2.172331208991647106e-07
2.700000000000000000e+01,2.246987632597592298e-07
2.800000000000000000e+01,2.072699926616606601e-07
2.900000000000000000e+01,1.738543357212943345e-07
3.000000000000000000e+01,1.721241751917052739e-07
3.100000000000000000e+01,1.517857678245439399e-07
3.200000000000000000e+01,1.471028777377981168e-07
3.300000000000000000e+01,1.358809439419837286e-07
3.400000000000000000e+01,1.229222318508437068e-07
3.500000000000000000e+01,1.264637950218980095e-07
3.600000000000000000e+01,1.079234612836335594e-07
3.700000000000000000e+01,1.052479091206233196e-07
3.800000000000000000e+01,9.254247865345082908e-08
3.900000000000000000e+01,8.924220611167285568e-08
4.000000000000000000e+01,8.786552538270989202e-08
4.100000000000000000e+01,7.557573862188357327e-08
4.200000000000000000e+01,7.282839513473329467e-08
4.300000000000000000e+01,6.373821103547269012e-08
4.400000000000000000e+01,6.171033957123826546e-08
4.500000000000000000e+01,5.918793518442020490e-08
4.600000000000000000e+01,5.139944507079138285e-08
4.700000000000000000e+01,4.734959813915995087e-08
4.800000000000000000e+01,4.297683342497179336e-08
4.900000000000000000e+01,4.021822317854324747e-08
