Q,Intensity
1.000000000000000000e+00,2.355663680438886606e-05
2.000000000000000000e+00,1.006717722461440753e-05
3.000000000000000000e+00,6.978013259783534981e-06
4.000000000000000000e+00,5.340584193302914968e-06
5.000000000000000000e+00,2.379490594116129294e-06
6.000000000000000000e+00,2.326905397521735980e-06
7.000000000000000000e+00,2.304493315927809098e-06
8.000000000000000000e+00,2.192802425073403667e-06
9.000000000000000000e+00,2.370047767956773606e-06
1.000000000000000000e+01,2.228588329736058555e-06
1.100000000000000000e+01,1.832399656868848327e-06
1.200000000000000000e+01,1.523167125408101480e-06
1.300000000000000000e+01,1.049032083519144220e-06
1.400000000000000000e+01,7.800387368730530148e-07
1.500000000000000000e+01,6.807062265208231224e-07
1.600000000000000000e+01,6.471086128758875712e-07
1.700000000000000000e+01,5.906336186735097618e-07
1.800000000000000000e+01,6.562666868082889542e-07
1.900000000000000000e+01,6.952041628486803086e-07
2.000000000000000000e+01,6.814435315300069281e-07
2.100000000000000000e+01,6.323466563279810177e-07
2.200000000000000000e+01,6.179349068081823358e-07
2.300000000000000000e+01,6.052182305415200223e-07
2.400000000000000000e+01,5.397906466288613531e-07
2.500000000000000000e+01,4.815324703903408511e-07
2.600000000000000000e+01,4.277153513214702768e-07
2.700000000000000000e+01,3.787862849354072157e-07
2.800000000000000000e+01,3.577258579004486653e-07
2.900000000000000000e+01,3.778536353426140963e-07
3.000000000000000000e+01,3.719051654287325392e-07
3.100000000000000000e+01,3.899838337178054017e-07
3.200000000000000000e+01,3.783604294582673525e-07
3.300000000000000000e+01,3.358630804128523754e-07
3.400000000000000000e+01,2.992220463242877408e-07
3.500000000000000000e+01,2.496358937190072344e-07
3.600000000000000000e+01,2.117829233427042066e-07
3.700000000000000000e+01,1.740535977245367086e-07
3.800000000000000000e+01,1.510596601624108532e-07
3.900000000000000000e+01,1.385332744684168184e-07
4.000000000000000000e+01,1.358981384866604915e-07
4.100000000000000000e+01,1.257802319998963707e-07
4.200000000000000000e+01,1.305055870123153576e-07
4.300000000000000000e+01,1.181268697980264110e-07
4.400000000000000000e+01,1.121338858874636660e-07
4.500000000000000000e+01,1.007005644474351781e-07
4.600000000000000000e+01,8.395013496809010564e-08
4.700000000000000000e+01,6.935080175988374184e-08
4.800000000000000000e+01,6.033628052010438343e-08
4.900000000000000000e+01,5.139478479110916717e-08
5.000000000000000000e+01,5.023387759350219095e-08
5.100000000000000000e+01,5.433048677437960298e-08
5.200000000000000000e+01,5.594227304267920089e-08
5.300000000000000000e+01,5.894744208663916898e-08
5.400000000000000000e+01,5.673073164786821484e-08
5.500000000000000000e+01,4.771636208209268443e-08
5.600000000000000000e+01,4.260147386993830700e-08
5.700000000000000000e+01,3.379609649982276464e-08
5.800000000000000000e+01,2.704264625508828896e-08
5.900000000000000000e+01,2.587215842535832599e-08
6.000000000000000000e+01,2.223363766184375754e-08
6.100000000000000000e+01,2.200157147747483775e-08
6.200000000000000000e+01,2.155907655865975228e-08
6.300000000000000000e+01,1.965136453388553035e-08
6.400000000000000000e+01,1.921015718266141931e-08
6.500000000000000000e+01,1.760554774563478218e-08
6.600000000000000000e+01,1.697667706607373813e-08
6.700000000000000000e+01,1.447244745192822916e-08
6.800000000000000000e+01,1.285424918329504503e-08
6.900000000000000000e+01,1.079584824104582938e-08
7.000000000000000000e+01,8.738866802783835250e-09
7.100000000000000000e+01,8.337030369334702665e-09
7.200000000000000000e+01,8.290515145183110295e-09
7.300000000000000000e+01,7.892758122838154546e-09
7.400000000000000000e+01,8.971815142657331784e-09
7.500000000000000000e+01,8.333514292378193461e-09
7.600000000000000000e+01,7.705589594695966889e-09
7.700000000000000000e+01,6.070471645431218160e-09
7.800000000000000000e+01,4.408330029752009748e-09
7.900000000000000000e+01,3.467092376079839001e-09
8.000000000000000000e+01,3.090375066545941082e-09
8.100000000000000000e+01,2.843305775968847364e-09
8.200000000000000000e+01,2.970728352307482387e-09
8.300000000000000000e+01,3.080541858587316349e-09
8.400000000000000000e+01,2.746972770738295311e-09
8.500000000000000000e+01,2.735976989784857280e-09
8.600000000000000000e+01,2.804235680838735927e-09
8.700000000000000000e+01,3.152359392346743691e-09
8.800000000000000000e+01,3.597371877117666053e-09
8.900000000000000000e+01,3.501553814237619379e-09
9.000000000000000000e+01,4.035610562549273348e-09
9.100000000000000000e+01,3.978286695531957972e-09
9.200000000000000000e+01,4.132408747400171972e-09
9.300000000000000000e+01,4.286122341513891650e-09
9.400000000000000000e+01,4.392096042249260320e-09
9.500000000000000000e+01,5.057361724447790073e-09
9.600000000000000000e+01,5.323873198205799267e-09
9.700000000000000000e+01,5.407647307206258946e-09
9.800000000000000000e+01,5.733026879257840072e-09
9.900000000000000000e+01,5.406447984410327444e-09
1.000000000000000000e+02,5.435253410329293068e-09
1.010000000000000000e+02,5.140226362420558009e-09
1.020000000000000000e+02,5.354335046607137166e-09
1.030000000000000000e+02,5.871272199181420422e-09
1.040000000000000000e+02,6.233820591994075026e-09
1.050000000000000000e+02,6.685981765330437984e-09
1.060000000000000000e+02,6.401085354527170696e-09
1.070000000000000000e+02,6.469512280072893378e-09
1.080000000000000000e+02,5.879583260888867320e-09
1.090000000000000000e+02,5.426562568108540270e-09
1.100000000000000000e+02,5.147708787507309409e-09
1.110000000000000000e+02,4.973873819982755318e-09
1.120000000000000000e+02,5.748259472920042767e-09
1.130000000000000000e+02,6.383017399400921624e-09
1.140000000000000000e+02,6.729173329493449879e-09
1.150000000000000000e+02,7.328829662183355580e-09
1.160000000000000000e+02,7.051376802526665282e-09
1.170000000000000000e+02,6.564453932592660673e-09
1.180000000000000000e+02,5.859312557782726583e-09
1.190000000000000000e+02,5.171179132896462225e-09
1.200000000000000000e+02,5.085880942350232156e-09
1.210000000000000000e+02,5.022033443009936848e-09
1.220000000000000000e+02,5.350056077497600743e-09
1.230000000000000000e+02,5.247804556975211906e-09
1.240000000000000000e+02,5.661303904258205320e-09
1.250000000000000000e+02,5.313662996687922253e-09
1.260000000000000000e+02,4.991734293371479785e-09
1.270000000000000000e+02,4.427775101972558039e-09
1.280000000000000000e+02,3.754699045360641292e-09
1.290000000000000000e+02,3.272622617768503182e-09
1.300000000000000000e+02,3.040744966385665332e-09
1.310000000000000000e+02,2.819076768842914151e-09
1.320000000000000000e+02,2.749461626261613633e-09
1.330000000000000000e+02,2.855869886341860855e-09
1.340000000000000000e+02,2.864004966368460438e-09
1.350000000000000000e+02,2.714343393121742783e-09
1.360000000000000000e+02,2.548795247860521606e-09
1.370000000000000000e+02,2.347027454290901742e-09
1.380000000000000000e+02,2.095277116495795144e-09
1.390000000000000000e+02,1.752306020317880519e-09
1.400000000000000000e+02,1.473334321215158647e-09
1.410000000000000000e+02,1.248276508733346103e-09
1.420000000000000000e+02,1.170906566126297129e-09
1.430000000000000000e+02,1.140391872265944950e-09
1.440000000000000000e+02,1.110498404785072906e-09
1.450000000000000000e+02,1.189982139758022663e-09
1.460000000000000000e+02,1.256619713199311994e-09
1.470000000000000000e+02,1.188704314155928701e-09
1.480000000000000000e+02,1.137534869138544829e-09
1.490000000000000000e+02,9.866991655410913233e-10
1.500000000000000000e+02,8.627467148654121214e-10
1.510000000000000000e+02,7.579864194441774988e-10
