Q,Intensity
1.000000000000000000e+00,3.884738467414316013e-04
2.000000000000000000e+00,6.917631945622167849e-05
3.000000000000000000e+00,4.469442322495542326e-05
4.000000000000000000e+00,2.738980702457249260e-05
5.000000000000000000e+00,1.464524296363660548e-05
6.000000000000000000e+00,1.121820101455210210e-05
7.000000000000000000e+00,1.769927360736459323e-05
8.000000000000000000e+00,8.070275894027964430e-06
9.000000000000000000e+00,9.512450516782352289e-06
1.000000000000000000e+01,1.176028302356396027e-05
1.100000000000000000e+01,9.263831027190908663e-06
1.200000000000000000e+01,7.694824470456102295e-06
1.300000000000000000e+01,6.405803749767967168e-06
1.400000000000000000e+01,7.376828201807628505e-06
1.500000000000000000e+01,5.382344696554447063e-06
1.600000000000000000e+01,5.169137446059747881e-06
1.700000000000000000e+01,3.759945895874950234e-06
1.800000000000000000e+01,3.646288200234948415e-06
1.900000000000000000e+01,6.101792372686697692e-06
2.000000000000000000e+01,5.189616399998138674e-06
2.100000000000000000e+01,3.321679485914149628e-06
2.200000000000000000e+01,3.077983643966864886e-06
2.300000000000000000e+01,3.193052991500503528e-06
2.400000000000000000e+01,2.283913128320382204e-06
2.500000000000000000e+01,2.635385271650164531e-06
2.600000000000000000e+01,3.648024507247277414e-06
2.700000000000000000e+01,2.955228061610675743e-06
2.800000000000000000e+01,3.307586860254328503e-06
2.900000000000000000e+01,2.432752647286267585e-06
3.000000000000000000e+01,2.048938863528225873e-06
3.100000000000000000e+01,1.632019181683392342e-06
3.200000000000000000e+01,1.747916497846315347e-06
3.300000000000000000e+01,1.506498551622855125e-06
3.400000000000000000e+01,1.702224045764049408e-06
3.500000000000000000e+01,1.688218273782959452e-06
3.600000000000000000e+01,1.691631784057241561e-06
3.700000000000000000e+01,1.538787219072071387e-06
3.800000000000000000e+01,2.189422610918448219e-06
3.900000000000000000e+01,1.825743380053048583e-06
4.000000000000000000e+01,1.178325339559949047e-06
4.100000000000000000e+01,1.112129939327193353e-06
4.200000000000000000e+01,1.190055479179359242e-06
4.300000000000000000e+01,1.146511679804757814e-06
4.400000000000000000e+01,1.085138614173508230e-06
4.500000000000000000e+01,8.167555002423108187e-07
4.600000000000000000e+01,9.099066779443664984e-07
4.700000000000000000e+01,7.761376663096614985e-07
4.800000000000000000e+01,8.844344369419268263e-07
4.900000000000000000e+01,8.499380243284968253e-07
5.000000000000000000e+01,7.455817563292981407e-07
5.100000000000000000e+01,9.177427600865187153e-07
5.200000000000000000e+01,1.143696618316432204e-06
5.300000000000000000e+01,1.304720927141894086e-06
5.400000000000000000e+01,7.567160496907126763e-07
5.500000000000000000e+01,5.521376526927109282e-07
5.600000000000000000e+01,5.619580982166921177e-07
5.700000000000000000e+01,6.189192832474755837e-07
5.800000000000000000e+01,5.844598429545311589e-07
5.900000000000000000e+01,6.162156550916506156e-07
6.000000000000000000e+01,6.183913861419315594e-07
6.100000000000000000e+01,4.166275457165248445e-07
6.200000000000000000e+01,4.593777905813086582e-07
6.300000000000000000e+01,6.209857738208762752e-07
6.400000000000000000e+01,3.252995343241805639e-07
6.500000000000000000e+01,3.964341561279639126e-07
6.600000000000000000e+01,4.343262170303137613e-07
6.700000000000000000e+01,4.636419736299843526e-07
6.800000000000000000e+01,3.992485035329881244e-07
6.900000000000000000e+01,3.735091402244622665e-07
7.000000000000000000e+01,4.212722198425791576e-07
7.100000000000000000e+01,5.166388441167951907e-07
7.200000000000000000e+01,7.161126928244584564e-07
7.300000000000000000e+01,4.765110383397911082e-07
7.400000000000000000e+01,3.235150421987148714e-07
7.500000000000000000e+01,2.641711140430742527e-07
7.600000000000000000e+01,2.538773067725839549e-07
7.700000000000000000e+01,2.479379340950957589e-07
7.800000000000000000e+01,2.554231998809069636e-07
7.900000000000000000e+01,2.218946588502388805e-07
8.000000000000000000e+01,2.326620670246769027e-07
8.100000000000000000e+01,2.808771466410591328e-07
8.200000000000000000e+01,2.981236892089954933e-07
8.300000000000000000e+01,2.251977625369473535e-07
8.400000000000000000e+01,2.350001278762780145e-07
8.500000000000000000e+01,2.563991200198042428e-07
8.600000000000000000e+01,2.645499997932569624e-07
8.700000000000000000e+01,2.041398435995979340e-07
8.800000000000000000e+01,1.563177704560098189e-07
8.900000000000000000e+01,1.733522597876777646e-07
9.000000000000000000e+01,2.252543683472658511e-07
9.100000000000000000e+01,2.313773487935874046e-07
9.200000000000000000e+01,2.096026701223314578e-07
9.300000000000000000e+01,1.846544810722802643e-07
9.400000000000000000e+01,1.758341316060059470e-07
9.500000000000000000e+01,1.746459717537197892e-07
9.600000000000000000e+01,1.524680178523319800e-07
9.700000000000000000e+01,2.331860859480200517e-07
9.800000000000000000e+01,2.966440478270010459e-07
9.900000000000000000e+01,2.625972532812558840e-07
1.000000000000000000e+02,2.155087378122163196e-07
1.010000000000000000e+02,1.769818263078786558e-07
1.020000000000000000e+02,1.344442592776227735e-07
1.030000000000000000e+02,1.233050410290366281e-07
1.040000000000000000e+02,1.029813920323727721e-07
1.050000000000000000e+02,1.031203508195273377e-07
1.060000000000000000e+02,1.035426182015162917e-07
1.070000000000000000e+02,1.037977307848965168e-07
1.080000000000000000e+02,1.032128396126060548e-07
1.090000000000000000e+02,9.607635460884011565e-08
1.100000000000000000e+02,1.057963198723104972e-07
1.110000000000000000e+02,1.107954507443411328e-07
1.120000000000000000e+02,1.236856889558742389e-07
1.130000000000000000e+02,1.008043304508336302e-07
1.140000000000000000e+02,8.867047334242721153e-08
1.150000000000000000e+02,1.005601809089969936e-07
1.160000000000000000e+02,1.036332648030980534e-07
1.170000000000000000e+02,1.025368222592791705e-07
1.180000000000000000e+02,1.246416045154291088e-07
1.190000000000000000e+02,1.398763630361712131e-07
1.200000000000000000e+02,6.708224973280889471e-08
1.210000000000000000e+02,7.662904995431018276e-08
1.220000000000000000e+02,6.524851039306665838e-08
1.230000000000000000e+02,7.826969163124858038e-08
1.240000000000000000e+02,1.034231566693856098e-07
1.250000000000000000e+02,9.815042654818853888e-08
1.260000000000000000e+02,7.443515934951048923e-08
1.270000000000000000e+02,7.422116741866700849e-08
1.280000000000000000e+02,7.101058078092074013e-08
1.290000000000000000e+02,7.329659520009783345e-08
1.300000000000000000e+02,6.351286841257367348e-08
1.310000000000000000e+02,6.234291096655176663e-08
1.320000000000000000e+02,7.735182302589491874e-08
1.330000000000000000e+02,7.533444695282317487e-08
1.340000000000000000e+02,1.033430184270304826e-07
