Q,Intensity
1.000000000000000000e+00,1.636448085644891606e-04
2.000000000000000000e+00,3.019543237935955153e-05
3.000000000000000000e+00,2.264868255283219030e-05
4.000000000000000000e+00,1.425889936170875279e-05
5.000000000000000000e+00,6.844108988465762488e-06
6.000000000000000000e+00,8.563736807223771769e-06
7.000000000000000000e+00,9.599735155428998801e-06
8.000000000000000000e+00,4.338654900600681828e-06
9.000000000000000000e+00,2.642354963566014200e-06
1.000000000000000000e+01,3.858937417898004119e-06
1.100000000000000000e+01,4.213654844580264246e-06
1.200000000000000000e+01,4.847702137226581950e-06
1.300000000000000000e+01,4.034374767807853777e-06
1.400000000000000000e+01,2.182093997634276873e-06
1.500000000000000000e+01,1.643504793263743973e-06
1.600000000000000000e+01,1.323529152958570869e-06
1.700000000000000000e+01,1.390778891306448967e-06
1.800000000000000000e+01,2.055121147647364597e-06
1.900000000000000000e+01,2.465288797041829715e-06
2.000000000000000000e+01,2.161819561780602602e-06
2.100000000000000000e+01,1.831827886301682133e-06
2.200000000000000000e+01,1.869017057694996206e-06
2.300000000000000000e+01,1.844893885408583768e-06
2.400000000000000000e+01,1.297815977209822054e-06
2.500000000000000000e+01,1.049177676612882510e-06
2.600000000000000000e+01,9.746763144380126083e-07
2.700000000000000000e+01,7.059326020294688962e-07
2.800000000000000000e+01,7.008084825851156288e-07
2.900000000000000000e+01,7.380095495423712707e-07
3.000000000000000000e+01,7.542054938388782809e-07
3.100000000000000000e+01,7.096063048052582873e-07
3.200000000000000000e+01,1.104621822113267938e-06
3.300000000000000000e+01,1.231238497560958111e-06
3.400000000000000000e+01,7.763934346153048453e-07
3.500000000000000000e+01,7.002574382578850793e-07
3.600000000000000000e+01,8.039354577722876056e-07
3.700000000000000000e+01,7.581179293573079514e-07
3.800000000000000000e+01,6.414991080256449421e-07
3.900000000000000000e+01,6.527706733051315962e-07
4.000000000000000000e+01,6.856649792016902666e-07
4.100000000000000000e+01,5.359376439948868824e-07
4.200000000000000000e+01,4.381364789219612833e-07
4.300000000000000000e+01,4.903508628315023305e-07
4.400000000000000000e+01,4.501162269236279442e-07
4.500000000000000000e+01,2.833436903886828125e-07
4.600000000000000000e+01,2.702779887902567153e-07
4.700000000000000000e+01,2.937642864515648988e-07
4.800000000000000000e+01,2.236974023592081147e-07
4.900000000000000000e+01,2.360985826161321045e-07
5.000000000000000000e+01,2.330973606087819236e-07
5.100000000000000000e+01,2.107337135266492506e-07
5.200000000000000000e+01,1.972603310950036824e-07
5.300000000000000000e+01,1.992108505434078808e-07
5.400000000000000000e+01,2.160943244353930270e-07
5.500000000000000000e+01,2.486409109343345691e-07
5.600000000000000000e+01,3.649323004960338276e-07
5.700000000000000000e+01,3.133032963139646979e-07
5.800000000000000000e+01,2.374218040160504774e-07
5.900000000000000000e+01,2.532166713060757074e-07
6.000000000000000000e+01,1.975530545351809126e-07
6.100000000000000000e+01,1.628920576385104511e-07
