Q,Intensity
1.000000000000000000e+00,3.091980214605419513e-04
2.000000000000000000e+00,5.613470159642231796e-05
3.000000000000000000e+00,3.520804845910462761e-05
4.000000000000000000e+00,2.591292033781523034e-05
5.000000000000000000e+00,1.613646037970719877e-05
6.000000000000000000e+00,1.493461099636811860e-05
7.000000000000000000e+00,1.144126943489368829e-05
8.000000000000000000e+00,9.613892608811550579e-06
9.000000000000000000e+00,1.250309540668591060e-05
1.000000000000000000e+01,8.796956798674100157e-06
1.100000000000000000e+01,7.931856673793630998e-06
1.200000000000000000e+01,8.324732309654218063e-06
1.300000000000000000e+01,6.297112183125868318e-06
1.400000000000000000e+01,6.107047068164626141e-06
1.500000000000000000e+01,7.242507487791832931e-06
1.600000000000000000e+01,4.516910812465603582e-06
1.700000000000000000e+01,4.884688315295171576e-06
1.800000000000000000e+01,4.878770548721962690e-06
1.900000000000000000e+01,5.227022142175014110e-06
2.000000000000000000e+01,4.640241236740741465e-06
2.100000000000000000e+01,3.359198096849513734e-06
2.200000000000000000e+01,3.605369241257424268e-06
2.300000000000000000e+01,4.108143474477791427e-06
2.400000000000000000e+01,4.022183617981534553e-06
2.500000000000000000e+01,2.923341948590160196e-06
2.600000000000000000e+01,2.551863562656656614e-06
2.700000000000000000e+01,2.837967696889452252e-06
2.800000000000000000e+01,2.891508959285422328e-06
2.900000000000000000e+01,2.345118462211485126e-06
3.000000000000000000e+01,1.813376544762920153e-06
3.100000000000000000e+01,2.963410857893232000e-06
3.200000000000000000e+01,2.525349349562551809e-06
3.300000000000000000e+01,2.602848796880793845e-06
3.400000000000000000e+01,1.962850121816189188e-06
3.500000000000000000e+01,1.526016481656582085e-06
3.600000000000000000e+01,1.756138401390415562e-06
3.700000000000000000e+01,1.852581635086160441e-06
3.800000000000000000e+01,1.390638911723079506e-06
3.900000000000000000e+01,1.205405385457087016e-06
4.000000000000000000e+01,1.179729396062167158e-06
4.100000000000000000e+01,1.332520763269235549e-06
4.200000000000000000e+01,1.688576662998270744e-06
4.300000000000000000e+01,1.777601912641591971e-06
4.400000000000000000e+01,1.382529664657322903e-06
4.500000000000000000e+01,1.071495271085234521e-06
4.600000000000000000e+01,9.774382614356285562e-07
4.700000000000000000e+01,9.744831807815385824e-07
4.800000000000000000e+01,9.869992241355627276e-07
4.900000000000000000e+01,9.171468300971246282e-07
5.000000000000000000e+01,1.029226096448155218e-06
5.100000000000000000e+01,7.464134379922103695e-07
5.200000000000000000e+01,7.334372889691394079e-07
5.300000000000000000e+01,6.652572501949112209e-07
5.400000000000000000e+01,6.782322326711681046e-07
5.500000000000000000e+01,7.790941124218587350e-07
5.600000000000000000e+01,7.948246892441401826e-07
5.700000000000000000e+01,8.172842750120240757e-07
5.800000000000000000e+01,7.090329151804824747e-07
5.900000000000000000e+01,6.294822852116107205e-07
6.000000000000000000e+01,6.217930674645829267e-07
6.100000000000000000e+01,5.199995385568127938e-07
6.200000000000000000e+01,4.798629576476216349e-07
6.300000000000000000e+01,5.115067710163023059e-07
6.400000000000000000e+01,4.959393442046868702e-07
6.500000000000000000e+01,4.883266557005758371e-07
6.600000000000000000e+01,4.461143879500761940e-07
6.700000000000000000e+01,4.124547843837408723e-07
6.800000000000000000e+01,4.157150631529840011e-07
6.900000000000000000e+01,3.636527025901045724e-07
7.000000000000000000e+01,3.282645940046206090e-07
7.100000000000000000e+01,3.167116515153383278e-07
7.200000000000000000e+01,2.948814850658042338e-07
7.300000000000000000e+01,3.820860987211637280e-07
7.400000000000000000e+01,3.617832554455806790e-07
7.500000000000000000e+01,3.513980141191192812e-07
7.600000000000000000e+01,3.786831738912138375e-07
7.700000000000000000e+01,3.220430265280730119e-07
7.800000000000000000e+01,3.220669243752553787e-07
7.900000000000000000e+01,2.893922569996989930e-07
8.000000000000000000e+01,2.752050362267614997e-07
8.100000000000000000e+01,2.438241552724136374e-07
8.200000000000000000e+01,2.019836022125307072e-07
8.300000000000000000e+01,1.946519029448775116e-07
8.400000000000000000e+01,2.294512028881605783e-07
