Q,Intensity
1.000000000000000000e+00,3.161623079975909591e-04
2.000000000000000000e+00,5.432298301450282524e-05
3.000000000000000000e+00,3.805299081860733711e-05
4.000000000000000000e+00,2.474828826450879794e-05
5.000000000000000000e+00,1.578476171029510232e-05
6.000000000000000000e+00,1.373113487704010184e-05
7.000000000000000000e+00,1.387605479743221915e-05
8.000000000000000000e+00,8.235244603050465863e-06
9.000000000000000000e+00,1.431584719401694669e-05
1.000000000000000000e+01,1.021928672153333614e-05
1.100000000000000000e+01,6.880696078366481085e-06
1.200000000000000000e+01,7.476580322137172010e-06
1.300000000000000000e+01,6.341985637230910395e-06
1.400000000000000000e+01,7.034243221490618747e-06
1.500000000000000000e+01,6.833396045357754137e-06
1.600000000000000000e+01,4.968594001481572012e-06
1.700000000000000000e+01,4.473206343819868217e-06
1.800000000000000000e+01,4.726755058785923360e-06
1.900000000000000000e+01,5.387864624742915774e-06
2.000000000000000000e+01,4.907736088730986127e-06
2.100000000000000000e+01,3.201698043727791438e-06
2.200000000000000000e+01,2.884384519141271257e-06
2.300000000000000000e+01,3.702967898764289021e-06
2.400000000000000000e+01,3.147369612070468503e-06
2.500000000000000000e+01,3.447038768765999223e-06
2.600000000000000000e+01,3.548351023116214706e-06
2.700000000000000000e+01,2.667620059751491558e-06
2.800000000000000000e+01,2.264932269893957055e-06
2.900000000000000000e+01,2.079518321249095052e-06
3.000000000000000000e+01,2.163649373726998403e-06
3.100000000000000000e+01,2.140344889378940690e-06
3.200000000000000000e+01,2.126749141921620726e-06
3.300000000000000000e+01,2.417758821166570700e-06
3.400000000000000000e+01,1.874105807010788210e-06
3.500000000000000000e+01,1.786633437262391780e-06
3.600000000000000000e+01,1.998057700370996891e-06
3.700000000000000000e+01,1.487451370297293465e-06
3.800000000000000000e+01,1.209777881620183932e-06
3.900000000000000000e+01,1.035736364101374890e-06
4.000000000000000000e+01,1.225491646034124985e-06
4.100000000000000000e+01,1.301735289412124905e-06
4.200000000000000000e+01,1.376091159494623465e-06
4.300000000000000000e+01,1.272467165060855398e-06
4.400000000000000000e+01,1.410020474577230502e-06
4.500000000000000000e+01,1.423626393356958678e-06
4.600000000000000000e+01,1.127721676111272476e-06
4.700000000000000000e+01,1.172134877165376364e-06
4.800000000000000000e+01,1.071787913293107007e-06
4.900000000000000000e+01,9.378044579614217967e-07
5.000000000000000000e+01,8.902409805070389690e-07
5.100000000000000000e+01,7.747189867706454175e-07
5.200000000000000000e+01,5.969867740725432350e-07
5.300000000000000000e+01,5.621913064591986957e-07
5.400000000000000000e+01,6.510696579680008385e-07
5.500000000000000000e+01,8.397565496893935764e-07
5.600000000000000000e+01,7.791766616491246826e-07
5.700000000000000000e+01,6.667616644934667546e-07
5.800000000000000000e+01,6.547574696569357237e-07
5.900000000000000000e+01,7.762955644301034106e-07
6.000000000000000000e+01,8.170271408758957597e-07
6.100000000000000000e+01,6.364006109323476379e-07
6.200000000000000000e+01,6.140869370008331841e-07
6.300000000000000000e+01,5.757088263318632615e-07
6.400000000000000000e+01,6.138319980571542691e-07
6.500000000000000000e+01,5.408215258942782426e-07
6.600000000000000000e+01,4.366745295682886150e-07
6.700000000000000000e+01,4.000107159446562401e-07
6.800000000000000000e+01,3.228246666646211860e-07
6.900000000000000000e+01,3.261313074692026241e-07
7.000000000000000000e+01,3.042824506759698946e-07
7.100000000000000000e+01,2.722579071902634608e-07
7.200000000000000000e+01,3.015869882682933669e-07
7.300000000000000000e+01,3.343461077285301124e-07
7.400000000000000000e+01,4.350173225801998477e-07
7.500000000000000000e+01,4.210719683601368527e-07
7.600000000000000000e+01,3.190027686270631694e-07
7.700000000000000000e+01,2.719156292522268657e-07
7.800000000000000000e+01,3.015488287722050845e-07
7.900000000000000000e+01,3.809221380982992048e-07
8.000000000000000000e+01,3.398354017064293401e-07
8.100000000000000000e+01,2.958367854673953396e-07
