Q,Intensity
1.000000000000000000e+00,3.348438684216849108e-04
2.000000000000000000e+00,6.508397599847285037e-05
3.000000000000000000e+00,3.078039473071879410e-05
4.000000000000000000e+00,2.428222721226513511e-05
5.000000000000000000e+00,1.972835013944638588e-05
6.000000000000000000e+00,1.635757862061362777e-05
7.000000000000000000e+00,1.161110040253427119e-05
8.000000000000000000e+00,1.080132815372175951e-05
9.000000000000000000e+00,1.125065506965826412e-05
1.000000000000000000e+01,8.722433467760721219e-06
1.100000000000000000e+01,8.865991992459999952e-06
1.200000000000000000e+01,5.231774454002554981e-06
1.300000000000000000e+01,6.373262804799547217e-06
1.400000000000000000e+01,8.767407806544046567e-06
1.500000000000000000e+01,6.053227384363356952e-06
1.600000000000000000e+01,4.334454936377267386e-06
1.700000000000000000e+01,3.912230618029542284e-06
1.800000000000000000e+01,4.302189844258063916e-06
1.900000000000000000e+01,6.327238442228874725e-06
2.000000000000000000e+01,5.519768935450149454e-06
2.100000000000000000e+01,3.389529471136252639e-06
2.200000000000000000e+01,2.839476651224698982e-06
2.300000000000000000e+01,2.686254915144065956e-06
2.400000000000000000e+01,3.074534022456057701e-06
2.500000000000000000e+01,4.296994333293047341e-06
2.600000000000000000e+01,3.444833396583847159e-06
2.700000000000000000e+01,3.005612118074096522e-06
2.800000000000000000e+01,1.925901439437502985e-06
2.900000000000000000e+01,2.141317204004710650e-06
3.000000000000000000e+01,1.858501829784031950e-06
3.100000000000000000e+01,1.721217791817255064e-06
3.200000000000000000e+01,2.268355457372714669e-06
3.300000000000000000e+01,2.642848833668797237e-06
3.400000000000000000e+01,2.570812152783572869e-06
3.500000000000000000e+01,1.778780910331748093e-06
3.600000000000000000e+01,2.125181615703302372e-06
3.700000000000000000e+01,1.848442597497483200e-06
3.800000000000000000e+01,1.322090740094325681e-06
3.900000000000000000e+01,1.285663168284013578e-06
4.000000000000000000e+01,1.214056509642411012e-06
4.100000000000000000e+01,1.015540261439228611e-06
4.200000000000000000e+01,1.084430583761228537e-06
4.300000000000000000e+01,1.539278085308920796e-06
4.400000000000000000e+01,1.439490548153806953e-06
4.500000000000000000e+01,1.316414957764367986e-06
4.600000000000000000e+01,1.193108921121272378e-06
4.700000000000000000e+01,1.021834573155126306e-06
4.800000000000000000e+01,9.938771114681997963e-07
4.900000000000000000e+01,1.042582090765628019e-06
5.000000000000000000e+01,8.905271077737626470e-07
5.100000000000000000e+01,7.057096705031592808e-07
5.200000000000000000e+01,9.193432682457856364e-07
5.300000000000000000e+01,7.005052327920969640e-07
5.400000000000000000e+01,6.553291805761196987e-07
5.500000000000000000e+01,6.359232758790938468e-07
5.600000000000000000e+01,6.422026291931508033e-07
5.700000000000000000e+01,8.423596690881167290e-07
5.800000000000000000e+01,8.768791138276208178e-07
5.900000000000000000e+01,6.559597767273477611e-07
6.000000000000000000e+01,7.512174747791485190e-07
