Q,Intensity
1.000000000000000000e+00,3.271597463652183165e-04
2.000000000000000000e+00,6.309639511005276909e-05
3.000000000000000000e+00,3.199569472101733447e-05
4.000000000000000000e+00,2.625951925264499173e-05
5.000000000000000000e+00,1.844442404424227381e-05
6.000000000000000000e+00,1.616251271005539976e-05
7.000000000000000000e+00,1.166039891520949134e-05
8.000000000000000000e+00,1.120893246090434824e-05
9.000000000000000000e+00,1.165936231259885081e-05
1.000000000000000000e+01,8.651327138538925188e-06
1.100000000000000000e+01,7.730177975195772559e-06
1.200000000000000000e+01,7.078101078746711144e-06
1.300000000000000000e+01,6.796225039655358841e-06
1.400000000000000000e+01,7.919368442668645711e-06
1.500000000000000000e+01,6.225472977856713329e-06
1.600000000000000000e+01,4.513512809018846748e-06
1.700000000000000000e+01,4.900680400157980527e-06
1.800000000000000000e+01,4.724141568261613139e-06
1.900000000000000000e+01,4.964117299487915337e-06
2.000000000000000000e+01,4.364083843100902175e-06
2.100000000000000000e+01,3.473230405322410511e-06
2.200000000000000000e+01,2.986497558988759291e-06
2.300000000000000000e+01,3.202137495779718787e-06
2.400000000000000000e+01,3.669154129301145093e-06
2.500000000000000000e+01,3.846814479882880932e-06
2.600000000000000000e+01,3.021024295115775108e-06
2.700000000000000000e+01,2.447334116733967112e-06
2.800000000000000000e+01,2.751029542275853873e-06
2.900000000000000000e+01,1.887411928045686618e-06
3.000000000000000000e+01,1.972576714742110966e-06
3.100000000000000000e+01,2.290238413112774403e-06
3.200000000000000000e+01,2.376422018934040868e-06
3.300000000000000000e+01,2.932099497283585392e-06
3.400000000000000000e+01,2.052140216972577624e-06
3.500000000000000000e+01,1.684199900350349517e-06
3.600000000000000000e+01,1.737105007979279052e-06
3.700000000000000000e+01,1.623935752875132118e-06
3.800000000000000000e+01,1.498492610701256259e-06
3.900000000000000000e+01,1.224837132771332263e-06
4.000000000000000000e+01,1.197143186639234908e-06
4.100000000000000000e+01,1.250033668206300428e-06
4.200000000000000000e+01,1.329870494037426020e-06
4.300000000000000000e+01,1.489076623073334282e-06
4.400000000000000000e+01,1.710450578177089442e-06
4.500000000000000000e+01,1.209566241278590057e-06
4.600000000000000000e+01,1.065451950860112599e-06
4.700000000000000000e+01,9.261325281726342686e-07
4.800000000000000000e+01,8.566062066891246651e-07
4.900000000000000000e+01,9.102128349850171083e-07
5.000000000000000000e+01,9.071594628208371684e-07
5.100000000000000000e+01,9.035001312887862046e-07
5.200000000000000000e+01,6.316427035776867616e-07
5.300000000000000000e+01,5.789579455445660589e-07
5.400000000000000000e+01,7.505511614251808242e-07
5.500000000000000000e+01,8.046002889937337374e-07
5.600000000000000000e+01,7.434786581572034255e-07
5.700000000000000000e+01,8.399275963875147600e-07
5.800000000000000000e+01,8.720292007402733550e-07
5.900000000000000000e+01,8.680475295009785140e-07
6.000000000000000000e+01,6.409565048053984861e-07
6.100000000000000000e+01,5.629583206844754136e-07
6.200000000000000000e+01,5.176605086423075532e-07
6.300000000000000000e+01,4.442096426600675802e-07
6.400000000000000000e+01,4.114180196584105961e-07
6.500000000000000000e+01,4.930394474708201193e-07
6.600000000000000000e+01,4.883720090611630383e-07
6.700000000000000000e+01,3.874148347409332945e-07
6.800000000000000000e+01,4.409143273603261433e-07
6.900000000000000000e+01,4.686531436065748755e-07
7.000000000000000000e+01,2.772065632387137418e-07
7.100000000000000000e+01,3.058102403164709185e-07
7.200000000000000000e+01,2.954255077413831626e-07
7.300000000000000000e+01,3.525934862209203297e-07
7.400000000000000000e+01,4.289337189890145727e-07
7.500000000000000000e+01,3.728806025841229213e-07
7.600000000000000000e+01,3.695253089046934189e-07
7.700000000000000000e+01,3.744001360907360564e-07
7.800000000000000000e+01,4.337290834623921250e-07
7.900000000000000000e+01,3.739566233737147748e-07
8.000000000000000000e+01,3.452995239496437015e-07
8.100000000000000000e+01,2.725269220632446918e-07
8.200000000000000000e+01,2.832529277031977814e-07
8.300000000000000000e+01,2.317187285267648446e-07
8.400000000000000000e+01,1.962600751462592627e-07
8.500000000000000000e+01,1.928709136891071043e-07
8.600000000000000000e+01,1.802261705310790666e-07
8.700000000000000000e+01,2.158901042595649778e-07
8.800000000000000000e+01,2.372071118235220060e-07
8.900000000000000000e+01,1.638783659507619857e-07
9.000000000000000000e+01,1.884221553687120369e-07
9.100000000000000000e+01,2.009104948775872611e-07
9.200000000000000000e+01,1.914836959278103514e-07
9.300000000000000000e+01,1.467448744114251322e-07
9.400000000000000000e+01,1.302288600730559194e-07
9.500000000000000000e+01,1.229162183219363753e-07
9.600000000000000000e+01,1.341148789710049948e-07
9.700000000000000000e+01,1.497226496590977444e-07
9.800000000000000000e+01,1.536793185583844721e-07
9.900000000000000000e+01,1.602514276492156921e-07
1.000000000000000000e+02,1.557018448759793090e-07
1.010000000000000000e+02,1.735210860691892015e-07
1.020000000000000000e+02,1.598711579005358129e-07
1.030000000000000000e+02,1.429371182700604502e-07
1.040000000000000000e+02,1.660586685102853955e-07
1.050000000000000000e+02,1.628585816696057282e-07
1.060000000000000000e+02,1.568881221311090676e-07
1.070000000000000000e+02,1.566577697091304328e-07
1.080000000000000000e+02,1.186530397153360591e-07
1.090000000000000000e+02,1.116311329576830230e-07
1.100000000000000000e+02,1.032784887733770038e-07
1.110000000000000000e+02,1.070787137803180978e-07
1.120000000000000000e+02,9.657411112837388559e-08
1.130000000000000000e+02,9.398563916245647837e-08
1.140000000000000000e+02,8.488863527309400955e-08
1.150000000000000000e+02,9.685634482152621204e-08
1.160000000000000000e+02,1.133937202446556130e-07
1.170000000000000000e+02,1.098895333896965524e-07
1.180000000000000000e+02,9.908090467377113511e-08
1.190000000000000000e+02,9.203822128493198474e-08
1.200000000000000000e+02,9.316293031938892276e-08
1.210000000000000000e+02,9.788424815390732038e-08
1.220000000000000000e+02,8.873260322848936797e-08
1.230000000000000000e+02,8.635263746905562425e-08
1.240000000000000000e+02,7.395950963263256406e-08
1.250000000000000000e+02,7.593403728211881405e-08
1.260000000000000000e+02,6.906363689405709835e-08
1.270000000000000000e+02,5.763493156849819383e-08
1.280000000000000000e+02,5.669580782031312248e-08
1.290000000000000000e+02,6.456537020145725897e-08
1.300000000000000000e+02,7.111424977721840131e-08
1.310000000000000000e+02,6.856493279920162905e-08
1.320000000000000000e+02,6.948944288085437364e-08
1.330000000000000000e+02,7.018147524112505516e-08
1.340000000000000000e+02,7.465509888627996801e-08
1.350000000000000000e+02,7.538210195622165043e-08
1.360000000000000000e+02,7.791736914216905124e-08
1.370000000000000000e+02,7.530982087002549736e-08
1.380000000000000000e+02,6.720758022407454632e-08
1.390000000000000000e+02,6.320238513660946651e-08
1.400000000000000000e+02,6.849139592536977478e-08
1.410000000000000000e+02,6.487063647449345959e-08
1.420000000000000000e+02,6.197824173810392946e-08
1.430000000000000000e+02,5.850426726312449986e-08
1.440000000000000000e+02,5.101233913008149601e-08
1.450000000000000000e+02,4.669655452997041767e-08
1.460000000000000000e+02,4.440703970386770095e-08
1.470000000000000000e+02,4.028700252619345281e-08
1.480000000000000000e+02,4.152423752239245720e-08
1.490000000000000000e+02,4.378648729272052337e-08
1.500000000000000000e+02,4.258443933019484068e-08
1.510000000000000000e+02,4.137139682709089408e-08
1.520000000000000000e+02,3.637564385328310706e-08
1.530000000000000000e+02,3.913908044104543960e-08
1.540000000000000000e+02,4.415065453786294198e-08
1.550000000000000000e+02,4.624485814732221300e-08
1.560000000000000000e+02,4.596018959964634075e-08
1.570000000000000000e+02,4.384916280221233430e-08
1.580000000000000000e+02,4.792011530566128398e-08
1.590000000000000000e+02,4.377232108257110391e-08
1.600000000000000000e+02,3.998797721258784909e-08
1.610000000000000000e+02,4.267252715294635613e-08
1.620000000000000000e+02,4.242781347932225775e-08
1.630000000000000000e+02,3.683999526464847560e-08
1.640000000000000000e+02,4.113470208878882088e-08
1.650000000000000000e+02,3.483171440372964367e-08
1.660000000000000000e+02,3.173104613450644593e-08
1.670000000000000000e+02,3.732613660756975483e-08
1.680000000000000000e+02,3.327165144321600458e-08
1.690000000000000000e+02,2.721925200054423985e-08
1.700000000000000000e+02,2.442516801211448619e-08
1.710000000000000000e+02,2.767832291025190788e-08
1.720000000000000000e+02,3.532098644258367953e-08
1.730000000000000000e+02,3.597314302327297453e-08
1.740000000000000000e+02,3.290017066009571201e-08
1.750000000000000000e+02,3.327911742565244321e-08
1.760000000000000000e+02,3.072195594431962212e-08
1.770000000000000000e+02,3.157994465042133134e-08
1.780000000000000000e+02,2.855531638900651972e-08
1.790000000000000000e+02,3.221787514674738698e-08
1.800000000000000000e+02,3.236750220411384632e-08
1.810000000000000000e+02,3.289594462037582532e-08
1.820000000000000000e+02,3.664789632531503881e-08
1.830000000000000000e+02,3.201585015550559305e-08
1.840000000000000000e+02,2.689426621311974755e-08
1.850000000000000000e+02,2.580813384393958418e-08
1.860000000000000000e+02,2.947871218491223857e-08
1.870000000000000000e+02,2.585760522432441278e-08
1.880000000000000000e+02,2.829353285372681850e-08
1.890000000000000000e+02,3.061011173013712621e-08
1.900000000000000000e+02,2.899911808568741635e-08
1.910000000000000000e+02,2.507188495664675025e-08
1.920000000000000000e+02,2.156331214976625398e-08
1.930000000000000000e+02,1.900032649348598370e-08
1.940000000000000000e+02,1.900744077601995227e-08
1.950000000000000000e+02,2.020959475147041215e-08
1.960000000000000000e+02,1.761258054800188708e-08
1.970000000000000000e+02,2.029781843904574314e-08
1.980000000000000000e+02,2.038445195415718813e-08
