Q,Intensity
1.000000000000000000e+00,4.213736997730749409e-04
2.000000000000000000e+00,6.211776241784061376e-05
3.000000000000000000e+00,2.302117776776483883e-05
4.000000000000000000e+00,1.811574680365115794e-05
5.000000000000000000e+00,1.918210663549362808e-05
6.000000000000000000e+00,1.354967501528961555e-05
7.000000000000000000e+00,1.040090853276852554e-05
8.000000000000000000e+00,1.017953047340246221e-05
9.000000000000000000e+00,8.496357334087041216e-06
1.000000000000000000e+01,9.676337236732793589e-06
1.100000000000000000e+01,7.165396186818876270e-06
1.200000000000000000e+01,5.984106091555423415e-06
1.300000000000000000e+01,4.636708260773642526e-06
1.400000000000000000e+01,7.531855273724344148e-06
1.500000000000000000e+01,5.151217718746192847e-06
1.600000000000000000e+01,4.199833901669152697e-06
1.700000000000000000e+01,3.272159807829652024e-06
1.800000000000000000e+01,5.192757133225565617e-06
1.900000000000000000e+01,6.456948779854917113e-06
2.000000000000000000e+01,4.240447751490586433e-06
2.100000000000000000e+01,3.609026224652153462e-06
2.200000000000000000e+01,2.775549027936438981e-06
2.300000000000000000e+01,2.336701379817660841e-06
2.400000000000000000e+01,3.227838193931701712e-06
2.500000000000000000e+01,4.465919752773042459e-06
2.600000000000000000e+01,3.885763449616314724e-06
2.700000000000000000e+01,2.715312407354187968e-06
2.800000000000000000e+01,2.626273061594026493e-06
2.900000000000000000e+01,2.429528050263968174e-06
3.000000000000000000e+01,2.033676940210280906e-06
3.100000000000000000e+01,1.738192200958271470e-06
3.200000000000000000e+01,1.922039864948184941e-06
3.300000000000000000e+01,2.984067858234356676e-06
3.400000000000000000e+01,2.706497614588946531e-06
3.500000000000000000e+01,2.124275774341760572e-06
3.600000000000000000e+01,1.890421043886189515e-06
3.700000000000000000e+01,1.983441198066821247e-06
3.800000000000000000e+01,1.445796255200797270e-06
3.900000000000000000e+01,1.316475942963727184e-06
4.000000000000000000e+01,1.323832833649564708e-06
4.100000000000000000e+01,1.209576748085922775e-06
4.200000000000000000e+01,9.430702514149745673e-07
4.300000000000000000e+01,1.369459695084559075e-06
4.400000000000000000e+01,1.700591503125437595e-06
4.500000000000000000e+01,1.559430916828212268e-06
4.600000000000000000e+01,1.385386357821127781e-06
4.700000000000000000e+01,1.225876905496059087e-06
4.800000000000000000e+01,8.532744561868340089e-07
4.900000000000000000e+01,1.027484977988499667e-06
5.000000000000000000e+01,1.062754951966717826e-06
5.100000000000000000e+01,9.651726040865483732e-07
5.200000000000000000e+01,8.499667308271458083e-07
5.300000000000000000e+01,6.853891869687048728e-07
5.400000000000000000e+01,6.539287951418543575e-07
5.500000000000000000e+01,7.384641321698453691e-07
5.600000000000000000e+01,6.494108168290287707e-07
5.700000000000000000e+01,7.070529543168635810e-07
5.800000000000000000e+01,7.976681482569778058e-07
5.900000000000000000e+01,9.260554326131894067e-07
6.000000000000000000e+01,7.625270172989726317e-07
6.100000000000000000e+01,8.097964890279610153e-07
6.200000000000000000e+01,7.519052073868306215e-07
6.300000000000000000e+01,5.582671156152330100e-07
6.400000000000000000e+01,4.628105814574588205e-07
6.500000000000000000e+01,6.026604243838469304e-07
6.600000000000000000e+01,5.487600665462797376e-07
6.700000000000000000e+01,4.986555583140225626e-07
6.800000000000000000e+01,4.613865274464747513e-07
