Q,Intensity
1.000000000000000000e+00,3.927494311729543453e-04
2.000000000000000000e+00,6.519996262854380910e-05
3.000000000000000000e+00,2.454949881228511181e-05
4.000000000000000000e+00,2.190795073264615965e-05
5.000000000000000000e+00,2.121580363327845294e-05
6.000000000000000000e+00,1.395931247290401015e-05
7.000000000000000000e+00,1.133563943782364992e-05
8.000000000000000000e+00,1.101875783604747811e-05
9.000000000000000000e+00,9.858094119817114955e-06
1.000000000000000000e+01,1.015967084256610876e-05
1.100000000000000000e+01,7.220906011059931466e-06
1.200000000000000000e+01,5.124949033379304890e-06
1.300000000000000000e+01,8.320687757675325995e-06
1.400000000000000000e+01,6.830540542430326590e-06
1.500000000000000000e+01,4.614028303319348430e-06
1.600000000000000000e+01,4.683995521553434089e-06
1.700000000000000000e+01,5.406615350261510440e-06
1.800000000000000000e+01,4.968636850786954392e-06
1.900000000000000000e+01,4.249685119058701992e-06
2.000000000000000000e+01,2.988188250804696100e-06
2.100000000000000000e+01,3.228171563720914969e-06
2.200000000000000000e+01,2.838923042904433389e-06
2.300000000000000000e+01,3.871068497393766613e-06
2.400000000000000000e+01,4.169754825883970577e-06
2.500000000000000000e+01,3.399210794016362960e-06
2.600000000000000000e+01,2.614562712356356262e-06
2.700000000000000000e+01,2.906488768459177784e-06
2.800000000000000000e+01,2.266296510919973976e-06
2.900000000000000000e+01,2.056728746624577556e-06
3.000000000000000000e+01,2.073015565798729116e-06
3.100000000000000000e+01,2.462051689222469061e-06
3.200000000000000000e+01,2.668669925269915968e-06
3.300000000000000000e+01,2.236661457983464924e-06
3.400000000000000000e+01,1.529965751824891427e-06
3.500000000000000000e+01,1.980775228471384933e-06
3.600000000000000000e+01,1.692609066866659720e-06
3.700000000000000000e+01,1.724327463975490091e-06
3.800000000000000000e+01,1.447053296030712431e-06
3.900000000000000000e+01,1.306888430825931762e-06
4.000000000000000000e+01,1.215959696776960452e-06
4.100000000000000000e+01,1.363595637337750480e-06
4.200000000000000000e+01,1.271982562422951623e-06
4.300000000000000000e+01,1.494281231627014686e-06
4.400000000000000000e+01,1.582300190681105044e-06
4.500000000000000000e+01,1.155863173529536144e-06
4.600000000000000000e+01,1.049865272357008206e-06
4.700000000000000000e+01,1.004161822708235645e-06
4.800000000000000000e+01,9.819217061003145770e-07
4.900000000000000000e+01,1.158881832354665811e-06
5.000000000000000000e+01,8.854383684513377759e-07
5.100000000000000000e+01,8.577641910669578306e-07
5.200000000000000000e+01,7.491895744475573237e-07
5.300000000000000000e+01,8.553754273455005125e-07
5.400000000000000000e+01,6.771461217382011344e-07
5.500000000000000000e+01,7.788983815457282103e-07
5.600000000000000000e+01,7.477899173220006514e-07
5.700000000000000000e+01,8.065930963547281662e-07
5.800000000000000000e+01,9.854571528674518709e-07
5.900000000000000000e+01,7.992544040002479700e-07
6.000000000000000000e+01,7.835760455544716113e-07
6.100000000000000000e+01,6.045245042664807433e-07
6.200000000000000000e+01,5.066578877166705235e-07
6.300000000000000000e+01,5.770581286761131260e-07
6.400000000000000000e+01,5.359394400843885693e-07
6.500000000000000000e+01,5.800142946820935328e-07
6.600000000000000000e+01,5.127898170618277927e-07
6.700000000000000000e+01,4.599195182006897961e-07
6.800000000000000000e+01,4.261723241641613613e-07
6.900000000000000000e+01,4.236095986699150132e-07
7.000000000000000000e+01,4.198210252043832491e-07
7.100000000000000000e+01,3.773869833728934247e-07
7.200000000000000000e+01,3.094808563788536678e-07
7.300000000000000000e+01,3.604348360820885290e-07
7.400000000000000000e+01,3.626061102877389053e-07
7.500000000000000000e+01,3.922153618573903151e-07
7.600000000000000000e+01,3.922880517283878760e-07
7.700000000000000000e+01,3.917258705017941514e-07
7.800000000000000000e+01,4.572914917866363178e-07
7.900000000000000000e+01,4.722850442733845136e-07
8.000000000000000000e+01,3.748397535502437637e-07
8.100000000000000000e+01,3.346304121202691345e-07
8.200000000000000000e+01,3.415406074110292009e-07
8.300000000000000000e+01,3.202589841269208503e-07
8.400000000000000000e+01,2.891669148348906938e-07
8.500000000000000000e+01,2.517912022724596083e-07
8.600000000000000000e+01,2.546957635732561826e-07
8.700000000000000000e+01,2.746721670637735173e-07
8.800000000000000000e+01,2.320406264071715961e-07
8.900000000000000000e+01,2.338933653172786790e-07
9.000000000000000000e+01,2.101837270964027126e-07
9.100000000000000000e+01,2.136756155782820391e-07
9.200000000000000000e+01,1.901255792533580360e-07
9.300000000000000000e+01,1.704474999389110092e-07
9.400000000000000000e+01,1.620964728371213542e-07
9.500000000000000000e+01,1.621519227709266564e-07
9.600000000000000000e+01,1.333084053676969809e-07
9.700000000000000000e+01,1.480688653144222437e-07
9.800000000000000000e+01,1.564066433883150889e-07
9.900000000000000000e+01,1.355311020109107610e-07
1.000000000000000000e+02,1.434807462499604199e-07
1.010000000000000000e+02,1.475228936187332150e-07
1.020000000000000000e+02,1.961040239436479581e-07
1.030000000000000000e+02,1.821472495296695540e-07
1.040000000000000000e+02,1.822876788097313574e-07
1.050000000000000000e+02,1.745925480373198302e-07
1.060000000000000000e+02,1.657280693593862582e-07
1.070000000000000000e+02,1.642362594705193399e-07
1.080000000000000000e+02,1.471223229383472701e-07
1.090000000000000000e+02,1.383208520143926820e-07
1.100000000000000000e+02,1.467992933590963297e-07
1.110000000000000000e+02,1.297497730677673516e-07
1.120000000000000000e+02,1.297604726957694430e-07
1.130000000000000000e+02,1.318194283496846762e-07
1.140000000000000000e+02,1.209931738010624533e-07
1.150000000000000000e+02,1.373353611814613948e-07
1.160000000000000000e+02,1.214192341993865120e-07
1.170000000000000000e+02,1.148038678901844923e-07
1.180000000000000000e+02,1.172749450255120321e-07
1.190000000000000000e+02,1.135101964526417527e-07
1.200000000000000000e+02,1.102978263762206720e-07
1.210000000000000000e+02,1.123793469694272637e-07
1.220000000000000000e+02,1.127596647484972445e-07
1.230000000000000000e+02,8.621907085076595559e-08
1.240000000000000000e+02,8.883608496548692076e-08
1.250000000000000000e+02,8.922796787672754944e-08
1.260000000000000000e+02,9.171684424895360078e-08
1.270000000000000000e+02,7.936848932467582852e-08
1.280000000000000000e+02,6.376759533909430675e-08
1.290000000000000000e+02,6.651503879238598394e-08
1.300000000000000000e+02,7.589176585223888794e-08
1.310000000000000000e+02,7.391867369036870458e-08
1.320000000000000000e+02,6.874030644452384732e-08
1.330000000000000000e+02,7.332832391556316723e-08
1.340000000000000000e+02,8.092656922176544692e-08
1.350000000000000000e+02,8.995269399952122780e-08
1.360000000000000000e+02,9.007855652177655670e-08
1.370000000000000000e+02,7.826333177740588646e-08
1.380000000000000000e+02,8.441280894180260113e-08
1.390000000000000000e+02,8.055011354486636056e-08
1.400000000000000000e+02,8.094627544964939286e-08
1.410000000000000000e+02,6.708297673943388694e-08
1.420000000000000000e+02,6.044849784400828787e-08
1.430000000000000000e+02,6.340794289763953531e-08
1.440000000000000000e+02,6.209547492137027929e-08
1.450000000000000000e+02,6.466031880012268778e-08
1.460000000000000000e+02,5.992440289908435623e-08
1.470000000000000000e+02,5.787976027406976797e-08
1.480000000000000000e+02,6.123936799180495110e-08
1.490000000000000000e+02,5.512267533888420622e-08
1.500000000000000000e+02,5.579368925023357022e-08
1.510000000000000000e+02,4.987516483929738670e-08
1.520000000000000000e+02,4.388720638938864334e-08
1.530000000000000000e+02,5.094830942376339356e-08
1.540000000000000000e+02,5.549467244210040589e-08
1.550000000000000000e+02,5.244520641259688579e-08
1.560000000000000000e+02,4.424558719934047769e-08
1.570000000000000000e+02,4.936589792423483587e-08
1.580000000000000000e+02,5.444155862302292491e-08
1.590000000000000000e+02,5.287212376913527248e-08
1.600000000000000000e+02,4.945851914355492741e-08
1.610000000000000000e+02,5.406623398479195788e-08
1.620000000000000000e+02,5.713156222624822198e-08
1.630000000000000000e+02,4.596811867548546513e-08
1.640000000000000000e+02,3.930043712968392543e-08
1.650000000000000000e+02,3.580502966100299341e-08
1.660000000000000000e+02,3.487227717915674779e-08
1.670000000000000000e+02,3.851388429659532243e-08
1.680000000000000000e+02,4.058893884601011571e-08
1.690000000000000000e+02,4.011046543583695745e-08
1.700000000000000000e+02,3.349381578807766008e-08
1.710000000000000000e+02,3.064668876443968063e-08
1.720000000000000000e+02,3.438167189772556704e-08
1.730000000000000000e+02,3.590820967151546850e-08
1.740000000000000000e+02,3.026982642443945816e-08
1.750000000000000000e+02,2.882697764052910721e-08
1.760000000000000000e+02,3.093010438530855752e-08
1.770000000000000000e+02,3.187471612085492694e-08
1.780000000000000000e+02,3.505188377532843279e-08
1.790000000000000000e+02,3.553121388885629825e-08
1.800000000000000000e+02,4.186191609121459673e-08
1.810000000000000000e+02,4.083076181953058491e-08
1.820000000000000000e+02,3.668433839788109560e-08
1.830000000000000000e+02,3.917129471764497360e-08
1.840000000000000000e+02,3.781584927634338809e-08
1.850000000000000000e+02,3.856751842313704608e-08
1.860000000000000000e+02,3.906433453099902427e-08
1.870000000000000000e+02,3.466281385084562854e-08
1.880000000000000000e+02,2.969147557245658666e-08
1.890000000000000000e+02,2.872032580237468305e-08
1.900000000000000000e+02,2.901930253624511103e-08
1.910000000000000000e+02,3.366155407540747610e-08
1.920000000000000000e+02,3.234566039327913920e-08
1.930000000000000000e+02,2.802053957007953595e-08
1.940000000000000000e+02,2.532239371972532092e-08
1.950000000000000000e+02,2.573096984280332195e-08
1.960000000000000000e+02,2.530065633980476223e-08
1.970000000000000000e+02,2.721500374882849674e-08
1.980000000000000000e+02,2.720860626715320800e-08
1.990000000000000000e+02,2.457928316704902757e-08
2.000000000000000000e+02,2.283273868426829311e-08
2.010000000000000000e+02,1.935491832779792299e-08
